"session","created","modified","ended","expired","sex","degree","school","familiarity","importance","courses","objectives","knowledge","knowledge2","experience","experience2","image_selection1","image_selection2","image_selection3"
"6RZCT91xx92jt7yQRQhgHwdyxqokKVpYqkR05BPmOP2_DtmYXLzDIWUKDIp1eSvl","2021-09-03 15:25:58","2021-09-03 15:31:04","2021-09-03 15:31:04","","2","1","5","33","100","1","8","","1","1","3, 5, 6","1","2","1"
"6qvu_VORp_pbTb6g1Jo4BdvwqT7e74jVL8cDcYkN4fhpaNrYFSJF3aeFJanJwOVK","2021-09-03 17:38:45","","","","","","","","","","","","","","","","",""
"7V_xHGpibCwDgMhnZA-EGhy7il0-BIs_u870JpbdmEfYejq5eOym1Jll3iGhhvjH","2021-09-05 02:12:13","","","","","","","","","","","","","","","","",""
"gAurMv06c6O5kELBMs35-2K4By61GOQ4Td6H0PSiBNx_JBLcdlxcrjpUzbQBSx8O","2021-09-05 02:12:19","","","","","","","","","","","","","","","","",""
"","2021-09-05 09:07:44","","","","","","","","","","","","","","","","",""
"3ikwQ-aEnCKvtYrI9gts59JoC9H2NGmA3Zwk9LtjsCfdQmV36WoSssAIDbNpSKEK","2021-09-05 09:46:25","","","","","","","","","","","","","","","","",""
"rX4k4CIqii_gC1P_Ryr54cyLDNA3S0v6XEVqFt4LQ_zJ5SzCUxrYV7OQNUpZ_4nx","2021-09-05 13:12:33","","","","","","","","","","","","","","","","",""
"kih1jcSFbRPYo4ySkAybV9YHtnBjmucRPnWRolr4IJV7tneDue6i4UJfXRaH-ABk","2021-09-05 13:13:22","","","","","","","","","","","","","","","","",""
"","2021-09-06 02:02:32","","","","","","","","","","","","","","","","",""
"","2021-09-06 02:11:09","","","","","","","","","","","","","","","","",""
"tkGolZLuEido026-1-wwYIEue52oaLW_rCWHzs6HgioO9meIrDBCCEIsLxRtEQq9","2021-09-08 01:10:30","","","","","","","","","","","","","","","","",""
"c567a165V458mFh5HUiFBa2Us2puvFlfEPAf7gTEB5QS6nlMtl6jNPa1b8vgRpKL","2021-09-08 04:30:25","2021-09-08 12:07:26","","","","","","","","","","","","","","","",""
"m3fqRfMlqUYGIW66Oe6uTrI7wjGZfw1711AnUDgA4obiQJ_jQbaIUUZ6seWbnubI","2021-09-08 12:46:03","2021-09-08 12:48:29","2021-09-08 12:48:29","","1","2","1","78","100","2","1, 5","4, 6, 9","6, 7","5","1, 2, 3, 4, 5","2","2","2"
"-CcqTuoBsFoBw13VowJUkTXeM-BKcfyD4OYVYktLaD0Q4GpcVlSQ-e-4ymMx0ogb","2021-09-08 12:46:06","2021-09-08 12:48:20","2021-09-08 12:48:20","","2","1","1","46","73","4","1, 2","1, 6, 8, 9","1, 3, 6, 7","4","1, 2, 4","1","2","1"
"g0ky2JnF4FkM_5SLNmYXO7GFylGAJxKprfEwrhcTCS3qfJbaAF-gRNnooFwwjIdU","2021-09-08 12:46:08","2021-09-08 12:51:11","2021-09-08 12:51:11","","2","1","2","19","80","2","1, 2, 3, 4, 5, 6, 7, 8","1, 4, 5, 6, 9","1, 3, 4, 6, 7","3","1, 3","2","2","1"
"4hfEzohHei6YgkNTi0UcvySBIan-Ea38J6Ddubpmksm7UF4NbQimSB_YbDH7CxqK","2021-09-08 12:46:11","","","","","","","","","","","","","","","","",""
"KO3EZ3MbReFJvwOLFYK0j_FXRqwRmlF3tx4JSJPdmRE79Tm58zsdoSydQgOLyBUF","2021-09-08 12:46:16","2021-09-08 12:49:00","2021-09-08 12:49:00","","2","1","1","37","76","3","1, 4, 6","1","1, 3","2","1, 2, 3","2","2","1"
"ToRCl5uhSmjQUW6sOsqcYFzaeDKkUAqZ2mBRyGPEljgrMOM_QymIzeVdaOx0e9PY","2021-09-08 12:46:17","2021-09-08 12:52:14","2021-09-08 12:52:14","","1","1","1","100","79","2","1","5","2","1","1, 2, 3","2","2","1"
"XTOrs1vch46aZuP63yYKuMbhyITlPD0ccYgxc1oiKmtPgKsDDNuvVbcucL_SE6yu","2021-09-08 12:46:20","2021-09-08 12:49:26","2021-09-08 12:49:26","","2","1","1","13","78","2","1","5, 7","1","1","1, 2","2","2","1"
"vV_LYQ_mlADkm56HtXkBg2aeY5D9teP5_WU_QPxgEK-zxxEwtdHY1qn4N8I-ey7u","2021-09-08 12:46:26","2021-09-08 12:50:30","2021-09-08 12:50:30","","2","1","1","4","68","1","1, 2, 3, 5, 6, 7, 8","5, 6, 7, 8","1, 6","4","1, 2, 3, 4, 5, 6","2","2","3"
"JaaBSXGf-mDdBLTwvHzGWzed0n2RJQCOUjJQOqup39xrzT4ykaFplHBBsJAS_Q7e","2021-09-08 12:46:34","2021-09-08 12:50:02","2021-09-08 12:50:02","","1","1","1","50","100","1","1","5","2","2","2","1","2","1"
"Qgn_CsqxeKyqeFG8-iNxS_W89_0NAwrSEBT4vFSZ-IZtX6QWbuJyoFpiEEus0XC1","2021-09-08 12:46:37","2021-09-08 12:50:48","2021-09-08 12:50:48","","1","1","1","1","100","1","5","4","5","2","2","1","2","1"
"Vdw-h9pVCvfVT1OWWSZd4j5NlPzqRR7BkmLmfTfOyPfWEmMIDoDA2cOFeMEue9Gy","2021-09-08 12:46:44","2021-09-08 12:49:34","2021-09-08 12:49:34","","2","1","1","31","100","3","1, 6","5, 6","1, 2","1","1, 2, 4, 6","1","2","4"
"eLNMdODGNd3tgAnzMcWnmHo8TWNWjR-6rvJk2aWCKLMbzUSrr_puMBSd_pTb80nu","2021-09-08 12:47:20","2021-09-08 12:49:46","2021-09-08 12:49:46","","1","1","2","67","100","5","1, 2, 3, 7","4, 5, 9","1, 2, 4, 7","4","2","1","1","4"
"0PulM2Mlxmo3RM1DXIscJjmhqfR8SyPj4aUEQhdQEqxjJTsiYOypPFYKW3XDrtwp","2021-09-08 12:47:43","2021-09-08 12:51:37","2021-09-08 12:51:37","","2","1","2","62","78","3","1, 3, 4, 5, 7, 8","5","1, 2","4","2, 3, 4","1","3","2"
"p369hECWpE3tpCxzEnsD8_QPbtzO-FcxrVcMuclobpl6PDuEtTSt1HIE6wHy_d0R","2021-09-08 12:48:07","2021-09-08 12:48:18","","","","","","","","","","","","","","","",""
"Jy5wt2Ijnaad9DCvtPYHbFjy2tZpjJ_KZJulxnyD-E7DtKyTbJAjFq7t5QaY_K8C","2021-09-08 12:48:30","2021-09-08 12:54:12","2021-09-08 12:54:12","","2","1","1","1","100","0","1","6","1","1","6","2","2","1"
"7xz9S3DWTcKD2j8gaJb72_S1ddriMp-CZSAUAq68d4X3708pbtoA4HUBTooXf4Di","2021-09-08 12:48:38","","","","","","","","","","","","","","","","",""
"BFwE8bmL3RXMQ-QodMRv0eppHuZmKRaP3N5lH3kp7RqOabOkdnPl6w99BQD-5gbK","2021-09-08 12:49:13","2021-09-08 12:52:25","2021-09-08 12:52:25","","2","1","1","5","100","2","1, 2, 3, 4, 5, 6, 7, 8","1, 6, 9","1, 3, 6, 7","3","1, 2, 3, 4","1","3","1"
"nahesKjUsmgSD2VJFLy7b4rc1KBMtT0tpFxzZslyee8chELXiZVe-9uTAbGy-Xay","2021-09-08 12:49:28","2021-09-08 12:52:15","2021-09-08 12:52:15","","2","1","2","27","100","2","1","5","2","1","1, 3","2","2","1"
"FOehTMkjaMQ52QZnK-z_L2tnlbfE7An8ValKoXOXxz0V4NtnV7v8ExxGIZmBdP1y","2021-09-08 12:49:29","2021-09-08 12:54:37","2021-09-08 12:54:37","","2","1","1","12","100","1","1, 2, 3, 4, 5, 6, 8","1, 6","1, 2, 6","1","1, 2, 3","2","2","3"
"TCcKPYgMjeBo3pDEH4eLdVNYJ-dOVqD1r_s84WNg_DlRHgHu_3yFALgSlnv0QY3W","2021-09-08 12:50:01","2021-09-08 12:52:05","2021-09-08 12:52:05","","1","1","1","23","87","2","1","6","1","4","2","2","3","2"
"1XAExFidWv2Ph-C3UAXCqgrlwgzEz_dRJG6YY5ntPOrN7fPSPj1l-ptxK7cb78Yx","2021-09-08 12:50:05","2021-09-08 12:52:45","2021-09-08 12:52:45","","2","1","1","12","77","1","1","5","1","1","1, 2, 4","2","2","1"
"ahfx4LzUTKjerk_JCIxk1CEinIQ9tB_zvOKiXNyNKP0iictu4F2GzB3_aOaJsHTx","2021-09-08 12:50:53","2021-09-08 12:54:39","2021-09-08 12:54:39","","2","1","1","28","82","2","1, 2, 3","4","1","1","2","2","2","1"
"K9LK8FQHe9GXVG6C-8HNvwBzlG2A4p07oSn0P9hE8S97PZILl0N7Ns1tOHjLMel-","2021-09-08 12:52:51","2021-09-08 12:58:50","2021-09-08 12:58:50","","1","1","1","51","51","3","1, 2, 3, 4, 5, 6, 7, 8","3","1","1","4","1","2","1"
"m6VuyHsCk9hD4WHD32sO1jbdR-MKOTMntFz6ZiCAarZ-ycyHQp1yxYY0IlJLwihl","2021-09-08 12:55:01","","","","","","","","","","","","","","","","",""
"BPuuUSt_bEdn-Q6RX7vPhvmkOUO1d5LiWFmCc5Fj1nRclkLmDHefFaRQTFtFSdDz","2021-09-08 12:55:37","","","","","","","","","","","","","","","","",""
"MQBKSxHx8ta1tLcGnUEOtMEa68qhAzRgsgYkLEPEFjsWD3wkCS5KlFEr_TO2-8Zo","2021-09-08 13:33:53","","","","","","","","","","","","","","","","",""
"fvw6J2z23ffD3FecbtU3yTFbr4pwT4DplRlw6T6EFlZXfPspr96Lbe0ckWecxTJr","2021-09-08 18:24:29","","","","","","","","","","","","","","","","",""
"QEO-Fo3tjFLIwFQTMdJZKGPEBqcB8-swH_b8dCAbuu02w95IrTOU9TlUv1eBnAft","2021-09-08 18:24:31","","","","","","","","","","","","","","","","",""
